Prestatario,Población,Ciudad,Edad,Sexo,País de Origen,Propiedades,Fuentes de reembolso,Ingresos netos,Deudas pendientes,Contrato de trabajo,Antigüedad del trabajo (meses),Número de hijos,Número de personas a cargo,Pago en fecha
Alicia Alonso,Oeste,Granada,50,Mujer,España,0,Salario,36945,0,Fijo,251,0,0,Sí
Lucas Janssens,Centro,Melilla,37,Mujer,Bélgica,2,Salario y Alquiler,19742,0,Fijo,156,2,1,Sí
Carla Gil,Oeste,Granada,22,Mujer,España,3,Salario,26916,0,Temporal,47,1,1,Sí
Antonio Ruiz,Este,Granada,27,Hombre,España,2,Salario,31867,1190,Fijo,83,1,0,Sí
Teresa Ramos,Oeste,Granada,78,Mujer,España,0,Pensión,12817,0,Inactivo,0,0,1,Sí
José González,Norte,Granada,31,Hombre,España,0,Salario,24843,1065,Temporal,23,0,0,Sí
Rubén Navarro,Este,Granada,40,Hombre,España,0,Salario,30620,0,Fijo,263,1,1,Sí
Laura Delgado,Este,Granada,26,Mujer,España,0,Salario,20726,0,Temporal,75,1,0,Sí
Claudia Ramos,Oeste,Granada,57,Mujer,España,0,Salario y Alquiler,33893,0,Temporal,1,0,0,Sí
Iván Ruiz,Norte,Granada,67,Hombre,España,1,Pensión y Alquiler,13947,0,Inactivo,0,0,1,Sí
Carla Gómez,Costa,Granada,27,Mujer,España,0,Salario,33153,0,Fijo,0,0,0,Sí
Anna Schmidt,Centro,Tarragona,41,Mujer,Alemania,2,Salario,20306,3175,Temporal,157,0,0,Sí
Julia Navarro,Centro,Granada,64,Mujer,España,1,Salario,27675,0,Fijo,499,1,0,Sí
Sofía Gómez,Este,Granada,56,Mujer,España,0,Salario y Alquiler,24048,2136,Fijo,228,0,0,Sí
Rubén Castro,Costa,Granada,74,Hombre,España,1,Pensión y Alquiler,15343,0,Inactivo,0,0,0,Sí
Marta Gutiérrez,Norte,Granada,26,Mujer,España,0,Salario y Alquiler,24562,0,Fijo,21,2,2,No
Susana Carrasco,Oeste,Granada,72,Mujer,España,1,Pensión,14976,9510,Inactivo,0,0,1,Sí
Álvaro Navarro,Este,Granada,43,Hombre,España,0,Salario y Alquiler,19615,0,Fijo,254,0,0,Sí
Sara Moreno,Costa,Granada,79,Mujer,España,1,Pensión,12392,0,Inactivo,0,0,1,Sí
Eva Janssen,Centro,Huelva,57,Mujer,Países Bajos,1,Salario,34401,0,Fijo,115,2,0,Sí
Luis Álvarez,Oeste,Granada,20,Hombre,España,0,Salario,19838,0,Fijo,3,0,0,Sí
Javier Ortega,Oeste,Granada,63,Hombre,España,0,Salario y Alquiler,19961,0,Temporal,328,0,2,No
Javier Sánchez,Costa,Granada,66,Hombre,España,1,Pensión,17523,0,Inactivo,0,0,1,Sí
Javier Romero,Centro,Granada,56,Hombre,España,1,Salario y Alquiler,31116,0,Temporal,103,2,0,Sí
Emily Brown,Centro,Zamora,36,Hombre,Reino Unido,0,Salario,28509,0,Temporal,133,0,0,Sí
Andrea Ramos,Centro,Granada,66,Mujer,España,0,Pensión,16350,0,Inactivo,0,0,0,Sí
Carla Iglesias,Centro,Granada,72,Mujer,España,1,Pensión,12478,4205,Inactivo,0,0,2,No
Santiago Molina,Oeste,Granada,43,Hombre,España,0,Salario y Alquiler,37238,0,Temporal,293,2,0,Sí
Iván Morales,Oeste,Granada,30,Hombre,España,0,Salario,33129,0,Fijo,5,0,0,Sí
Carmen Sánchez,Oeste,Granada,75,Mujer,España,2,Pensión y Alquiler,18775,0,Inactivo,0,3,1,Sí
Carlos Ortega,Este,Granada,45,Hombre,España,2,Salario,27303,0,Temporal,223,0,0,Sí
Eva Pérez,Oeste,Granada,60,Mujer,España,2,Salario y Alquiler,18898,0,Temporal,239,0,0,Sí
Rosa Delgado,Oeste,Granada,34,Mujer,España,1,Salario,28885,4694,Fijo,22,0,0,Sí
Beatriz Fernández,Este,Granada,50,Mujer,España,2,Salario y Alquiler,33286,0,Fijo,241,0,0,Sí
Sara Amrani,Centro,Melilla,41,Mujer,Marruecos,1,Salario,23199,4935,Fijo,51,0,0,Sí
Lucas Janssens,Centro,La Rioja,24,Mujer,Bélgica,0,Salario y Alquiler,35242,828,Fijo,37,0,0,Sí
Rosa Ramírez,Costa,Granada,47,Mujer,España,1,Salario,23851,0,Fijo,201,0,0,Sí
João Silva,Centro,Toledo,58,Hombre,Portugal,0,Salario y Alquiler,22031,0,Fijo,0,0,0,Sí
Emily Brown,Centro,Soria,48,Hombre,Reino Unido,0,Salario y Alquiler,20830,14368,Fijo,160,0,0,Sí
Eduardo Serrano,Costa,Granada,24,Hombre,España,0,Salario,17093,0,Fijo,6,0,0,Sí
Fabian Keller,Centro,Cantabria,37,Mujer,Suiza,1,Salario,23687,0,Fijo,216,1,1,Sí
Juan Domínguez,Centro,Granada,62,Hombre,España,0,Salario y Alquiler,22724,0,Fijo,113,0,1,Sí
Álvaro Molina,Oeste,Granada,20,Hombre,España,0,Salario y Alquiler,18674,0,Temporal,4,0,0,Sí
Rachid El Fassi,Centro,Baleares,53,Mujer,Marruecos,0,Salario,34566,0,Fijo,110,0,0,Sí
Cristina Torres,Costa,Granada,24,Mujer,España,1,Salario,19827,772,Fijo,25,2,2,No
Raúl Molina,Oeste,Granada,68,Hombre,España,0,Pensión y Alquiler,10913,0,Inactivo,0,3,1,Sí
John Smith,Centro,Santa Cruz de Tenerife,51,Hombre,Reino Unido,0,Salario,31542,0,Temporal,362,0,0,Sí
Alicia Gutiérrez,Norte,Granada,67,Mujer,España,4,Pensión y Alquiler,14049,0,Inactivo,0,3,1,Sí
Rosa Romero,Norte,Granada,55,Mujer,España,0,Salario,21541,0,Temporal,295,1,0,Sí
Isabel Ramos,Norte,Granada,44,Mujer,España,2,Salario y Alquiler,35399,1032,Fijo,273,0,0,Sí
Carla González,Costa,Granada,40,Mujer,España,2,Salario,24529,0,Fijo,55,2,2,No
James Taylor,Centro,La Rioja,80,Mujer,Reino Unido,1,Pensión y Alquiler,12961,1044,Inactivo,0,2,1,Sí
Claudia Díaz,Centro,Granada,64,Mujer,España,1,Salario,21300,1523,Fijo,456,4,0,Sí
Irene Pérez,Oeste,Granada,63,Mujer,España,1,Salario,36905,0,Fijo,104,1,0,Sí
Silvia Cruz,Norte,Granada,78,Mujer,España,1,Pensión,18475,0,Inactivo,0,1,1,Sí
Paula Silva,Centro,Granada,35,Mujer,España,0,Salario,23712,4597,Temporal,173,1,0,Sí
Carlos Gil,Este,Granada,77,Hombre,España,0,Pensión,14805,0,Inactivo,0,0,0,Sí
Paula Vázquez,Este,Granada,52,Mujer,España,1,Salario y Alquiler,27873,2203,Temporal,320,2,0,Sí
Carla Marín,Norte,Granada,69,Mujer,España,3,Pensión,14696,0,Inactivo,0,1,1,Sí
Sara Sánchez,Costa,Granada,39,Mujer,España,2,Salario,21430,0,Temporal,9,0,0,Sí
David Muñoz,Norte,Granada,43,Hombre,España,1,Salario y Alquiler,25031,0,Fijo,196,1,0,Sí
Roberto Serrano,Este,Granada,23,Hombre,España,1,Salario,23558,0,Fijo,36,0,0,Sí
Irene Fernández,Este,Granada,26,Mujer,España,0,Salario,19875,0,Fijo,57,1,0,Sí
Andrea Ortiz,Costa,Granada,46,Mujer,España,1,Salario y Alquiler,19402,0,Temporal,151,0,0,Sí
Juan Molina,Este,Granada,27,Hombre,España,2,Salario,26039,0,Fijo,22,1,0,Sí
Adrián Gil,Centro,Granada,64,Hombre,España,2,Salario y Alquiler,37850,0,Fijo,323,2,0,Sí
Mario Iglesias,Norte,Granada,37,Hombre,España,1,Salario y Alquiler,33923,0,Fijo,181,2,1,Sí
Claudia Morales,Norte,Granada,59,Mujer,España,0,Salario y Alquiler,36444,591,Fijo,343,1,1,Sí
Adrián Jiménez,Centro,Granada,41,Hombre,España,1,Salario y Alquiler,21150,0,Fijo,58,1,1,Sí
Mario Romero,Norte,Granada,27,Hombre,España,3,Salario,17628,1213,Temporal,47,2,0,Sí
Noah Maes,Centro,Lugo,58,Hombre,Bélgica,0,Salario,19154,0,Temporal,7,2,0,Sí
Alicia Gutiérrez,Este,Granada,41,Mujer,España,1,Salario,20061,13414,Fijo,34,2,1,Sí
Antonio Ruiz,Centro,Granada,37,Hombre,España,1,Salario,22701,8969,Temporal,15,0,0,Sí
Francisco Ramírez,Este,Granada,28,Hombre,España,0,Salario,22318,0,Temporal,64,1,1,Sí
Patricia Gómez,Oeste,Granada,52,Mujer,España,0,Salario,38933,0,Fijo,65,0,0,Sí
Sanne Visser,Centro,Segovia,27,Mujer,Países Bajos,1,Salario y Alquiler,19505,0,Fijo,62,0,0,Sí
Raquel Sánchez,Centro,Granada,28,Mujer,España,2,Salario,25260,2731,Fijo,117,0,0,Sí
Paula González,Norte,Granada,33,Mujer,España,1,Salario,23756,4090,Temporal,8,0,0,Sí
Álvaro García,Oeste,Granada,80,Hombre,España,0,Pensión y Alquiler,10487,11031,Inactivo,0,0,2,No
Mario Ruiz,Oeste,Granada,39,Hombre,España,0,Salario,29145,0,Fijo,188,1,1,Sí
María Molina,Centro,Granada,56,Mujer,España,0,Salario,35885,0,Temporal,386,3,0,Sí
Bram van Dijk,Centro,Granada,45,Hombre,Países Bajos,1,Salario y Alquiler,28716,0,Temporal,109,2,2,No
Luis Fernández,Costa,Granada,64,Hombre,España,2,Salario,32424,0,Fijo,127,0,1,Sí
Sophia Williams,Centro,Almería,65,Hombre,Reino Unido,3,Pensión y Alquiler,19357,0,Inactivo,0,1,1,Sí
Tiago Fernandes,Centro,Ciudad,30,Mujer,Portugal,0,Salario,23913,3984,Fijo,139,0,0,Sí
Claudia Muñoz,Oeste,Granada,27,Mujer,España,0,Salario,36087,0,Fijo,26,1,0,Sí
Luis Cruz,Centro,Granada,33,Hombre,España,2,Salario y Alquiler,35524,0,Fijo,110,0,0,Sí
Pedro Oliveira,Centro,Huelva,33,Hombre,Portugal,2,Salario y Alquiler,35767,0,Temporal,54,0,0,Sí
Ana Rodríguez,Este,Granada,24,Mujer,España,2,Salario y Alquiler,22295,1369,Fijo,16,0,0,Sí
Silvia Alonso,Norte,Granada,77,Mujer,España,0,Pensión,10762,0,Inactivo,0,0,0,Sí
Adrián Alonso,Centro,Madrid,35,Hombre,España,1,Salario,21462,0,Fijo,106,2,0,Sí
Laura Romero,Oeste,Granada,37,Mujer,España,1,Salario,32712,788,Temporal,166,0,0,Sí
Cristian Pérez,Este,Granada,57,Hombre,España,2,Salario y Alquiler,22774,4361,Fijo,46,0,0,Sí
Adrián Fernández,Este,Granada,22,Hombre,España,1,Salario,23945,11602,Temporal,34,2,2,No
Santiago Vázquez,Costa,Granada,65,Hombre,España,0,Pensión y Alquiler,12247,0,Inactivo,0,0,1,Sí
Carla González,Norte,Granada,62,Mujer,España,0,Salario,31168,0,Fijo,446,0,1,Sí
Roberto Sánchez,Centro,Granada,65,Hombre,España,0,Pensión,17088,2972,Inactivo,0,0,0,Sí
Mario Carrasco,Este,Granada,23,Hombre,España,1,Salario y Alquiler,31114,2850,Temporal,1,0,0,Sí
Álvaro Morales,Norte,Granada,69,Hombre,España,0,Pensión,13924,0,Inactivo,0,1,0,Sí
Luis Reyes,Norte,Granada,77,Hombre,España,0,Pensión,15687,0,Inactivo,0,2,1,Sí
Miguel Carrasco,Norte,Granada,52,Hombre,España,0,Salario,36665,0,Temporal,327,0,0,Sí
Lucía Díaz,Oeste,Granada,61,Mujer,España,0,Salario,21911,14066,Temporal,479,2,1,Sí
Roberto Díaz,Centro,Granada,69,Hombre,España,0,Pensión,12672,0,Inactivo,0,0,1,Sí
Carlos Ortiz,Costa,Granada,34,Hombre,España,2,Salario y Alquiler,23084,0,Temporal,24,1,0,Sí
Javier Serrano,Este,Granada,65,Hombre,España,1,Pensión,11418,1986,Inactivo,0,0,2,No
José Sanz,Norte,Granada,40,Hombre,España,1,Salario,32363,0,Fijo,85,1,1,Sí
Adrián Reyes,Este,Granada,26,Hombre,España,0,Salario y Alquiler,34410,0,Fijo,81,1,1,Sí
Elena Domínguez,Centro,Granada,68,Mujer,España,0,Pensión y Alquiler,14317,0,Inactivo,0,2,1,Sí
Manuel Rubio,Este,Granada,80,Hombre,España,3,Pensión,15262,686,Inactivo,0,1,0,Sí
Raúl Medina,Centro,Granada,55,Hombre,España,0,Salario,22753,0,Fijo,397,2,0,Sí
Beatriz Gil,Este,Granada,30,Mujer,España,1,Salario,27168,2640,Temporal,57,0,0,Sí
Iván Sanz,Oeste,Granada,58,Hombre,España,1,Salario,29004,9743,Fijo,241,0,0,Sí
Alicia Torres,Este,Granada,62,Mujer,España,1,Salario y Alquiler,34703,0,Fijo,458,0,2,No
Claudia Ruiz,Norte,Granada,23,Mujer,España,3,Salario y Alquiler,19606,0,Fijo,25,0,0,Sí
Inés Ortega,Oeste,Granada,55,Mujer,España,1,Salario,37553,3082,Fijo,117,3,1,Sí
Tom de Vries,Centro,Navarra,62,Hombre,Países Bajos,4,Salario y Alquiler,25108,0,Temporal,36,0,1,Sí
Santiago Cruz,Centro,Granada,72,Hombre,España,0,Pensión y Alquiler,11655,4693,Inactivo,0,3,0,Sí
Sofía García,Oeste,Granada,38,Mujer,España,0,Salario,26262,0,Temporal,172,2,1,Sí
Juan Delgado,Oeste,Granada,77,Hombre,España,0,Pensión,12976,0,Inactivo,0,3,1,Sí
Beatriz Cruz,Oeste,Granada,68,Mujer,España,0,Pensión,13939,4852,Inactivo,0,1,0,Sí
Teresa Reyes,Centro,Granada,59,Mujer,España,1,Salario,33601,6024,Fijo,469,3,1,Sí
Carmen Navarro,Norte,Granada,63,Mujer,España,5,Salario,21224,0,Fijo,120,0,1,Sí
Alicia Carrasco,Costa,Granada,71,Mujer,España,2,Pensión y Alquiler,16827,0,Inactivo,0,0,1,Sí
Silvia Blanco,Norte,Granada,73,Mujer,España,1,Pensión,15101,2612,Inactivo,0,3,0,Sí
Rubén Molina,Costa,Granada,62,Hombre,España,0,Salario,34868,2990,Fijo,392,0,0,Sí
Isabel Serrano,Este,Granada,57,Mujer,España,1,Salario,26540,0,Temporal,342,0,0,Sí
Roberto Sánchez,Centro,Granada,55,Hombre,España,0,Salario y Alquiler,28412,523,Fijo,380,2,1,Sí
Manuel Díaz,Centro,Granada,71,Hombre,España,0,Pensión y Alquiler,12296,0,Inactivo,0,0,1,Sí
Susana Vázquez,Centro,Granada,29,Mujer,España,0,Salario,34865,0,Fijo,104,0,0,Sí
Beatriz Ortiz,Oeste,Granada,60,Mujer,España,3,Salario y Alquiler,29545,543,Fijo,288,2,1,Sí
Beatriz Sanz,Costa,Granada,48,Mujer,España,0,Salario,36029,0,Fijo,121,1,1,Sí
Isabel Pérez,Oeste,Granada,61,Mujer,España,1,Salario y Alquiler,19441,0,Fijo,181,0,1,Sí
Rosa Blanco,Oeste,Granada,33,Mujer,España,1,Salario y Alquiler,18353,4843,Temporal,99,2,2,No
Miguel Castro,Norte,Granada,20,Hombre,España,0,Salario,31797,0,Temporal,20,0,0,Sí
Santiago Muñoz,Centro,Granada,72,Hombre,España,0,Pensión,14832,0,Inactivo,0,3,0,Sí
Fernando Díaz,Oeste,Granada,56,Hombre,España,1,Salario,35131,6130,Fijo,97,3,0,Sí
Paula García,Oeste,Granada,28,Mujer,España,1,Salario y Alquiler,16620,0,Temporal,21,0,0,Sí
Paula Alonso,Centro,Granada,63,Mujer,España,0,Salario,37200,6368,Fijo,132,1,0,Sí
Lucas Janssens,Centro,Melilla,58,Mujer,Bélgica,0,Salario,36170,4002,Temporal,426,0,0,Sí
Rosa Ruiz,Centro,Granada,48,Mujer,España,1,Salario,27896,0,Fijo,249,0,0,Sí
Diego Muñoz,Centro,Granada,62,Hombre,España,1,Salario,24321,0,Temporal,193,1,1,Sí
Cristina Gómez,Costa,Granada,78,Mujer,España,1,Pensión,15522,4383,Inactivo,0,0,2,No
Ana Sanz,Este,Granada,38,Mujer,España,3,Salario,28555,0,Fijo,229,1,0,Sí
Sara Amrani,Centro,Zaragoza,35,Mujer,Marruecos,1,Salario,20117,1808,Temporal,95,2,0,Sí
Laura Gil,Oeste,Granada,52,Mujer,España,1,Salario,30990,0,Temporal,151,1,0,Sí
Lucía Gil,Oeste,Granada,37,Mujer,España,0,Salario y Alquiler,18405,1943,Temporal,198,0,0,Sí
Simon Baumann,Centro,Ourense,77,Hombre,Suiza,1,Pensión,12850,679,Inactivo,0,0,1,Sí
Rosa Vázquez,Norte,Granada,70,Mujer,España,0,Pensión y Alquiler,13062,1758,Inactivo,0,3,1,Sí
Diego Domínguez,Norte,Granada,58,Hombre,España,2,Salario y Alquiler,19626,14100,Fijo,221,0,0,Sí
Marco Rossi,Centro,Huelva,43,Hombre,Italia,0,Salario y Alquiler,31574,0,Fijo,141,0,0,Sí
Raquel Muñoz,Costa,Granada,50,Mujer,España,0,Salario,22011,0,Fijo,262,3,1,Sí
Susana Blanco,Norte,Granada,52,Mujer,España,0,Salario,22181,0,Temporal,87,1,0,Sí
Juan Carrasco,Centro,Granada,67,Hombre,España,2,Pensión,14953,1900,Inactivo,0,0,2,No
María Pérez,Centro,Granada,38,Mujer,España,4,Salario y Alquiler,21725,4024,Fijo,99,0,0,Sí
Marta González,Costa,Granada,57,Mujer,España,0,Salario y Alquiler,36409,0,Fijo,112,0,0,Sí
Julia Díaz,Norte,Granada,45,Mujer,España,1,Salario y Alquiler,38608,4029,Temporal,90,0,0,Sí
Luis Hernández,Costa,Granada,35,Hombre,España,0,Salario,29310,0,Fijo,105,0,0,Sí
Alicia Molina,Norte,Granada,27,Mujer,España,2,Salario,35328,0,Temporal,9,0,0,Sí
María Ortega,Norte,Granada,72,Mujer,España,0,Pensión,11389,0,Inactivo,0,3,0,Sí
Elena Hernández,Este,Granada,22,Mujer,España,1,Salario y Alquiler,19178,0,Fijo,48,0,0,Sí
Ricardo Ortiz,Centro,Granada,49,Hombre,España,0,Salario y Alquiler,25475,0,Temporal,39,1,0,Sí
Francisco Blanco,Norte,Granada,63,Hombre,España,0,Salario y Alquiler,35521,0,Temporal,135,1,1,Sí
Susana Blanco,Costa,Granada,67,Mujer,España,0,Pensión,15809,7957,Inactivo,0,2,1,Sí
Fatima El Idrissi,Centro,Ávila,51,Hombre,Marruecos,1,Salario,23024,0,Fijo,169,0,0,Sí
Francesca Conti,Centro,Tarragona,41,Hombre,Italia,2,Salario y Alquiler,24746,3821,Fijo,240,1,0,Sí
Marta Gutiérrez,Norte,Granada,77,Mujer,España,1,Pensión y Alquiler,17899,0,Inactivo,0,0,0,Sí
Eva Blanco,Oeste,Granada,31,Mujer,España,1,Salario y Alquiler,29538,1626,Fijo,30,0,0,Sí
David Castro,Norte,Granada,21,Hombre,España,1,Salario,27275,0,Fijo,13,1,0,Sí
Lucía Carrasco,Centro,Granada,47,Mujer,España,0,Salario y Alquiler,29707,0,Fijo,329,0,0,Sí
Susana Cruz,Norte,Granada,59,Mujer,España,1,Salario y Alquiler,34432,0,Fijo,164,1,1,Sí
Mario Hernández,Costa,Granada,42,Hombre,España,1,Salario y Alquiler,28845,1053,Fijo,117,0,0,Sí
Teresa Serrano,Centro,Granada,39,Mujer,España,1,Salario y Alquiler,22795,0,Temporal,32,0,0,Sí
José Alonso,Costa,Granada,68,Hombre,España,0,Pensión y Alquiler,12842,1324,Inactivo,0,0,2,No
Ricardo Iglesias,Este,Granada,69,Hombre,España,1,Pensión y Alquiler,11235,0,Inactivo,0,1,0,Sí
Isabel Gutiérrez,Costa,Granada,48,Mujer,España,0,Salario y Alquiler,29912,2126,Temporal,184,1,0,Sí
Anna Schmidt,Centro,Pontevedra,62,Mujer,Alemania,0,Salario y Alquiler,18661,0,Fijo,109,4,0,Sí
Luis Torres,Costa,Granada,23,Hombre,España,0,Salario,33333,0,Temporal,27,1,1,Sí
Teresa Cruz,Oeste,Granada,77,Mujer,España,0,Pensión,10762,0,Inactivo,0,2,1,Sí
Ricardo Cruz,Este,Granada,65,Hombre,España,0,Pensión y Alquiler,14289,8398,Inactivo,0,1,0,Sí
Alejandro Sánchez,Centro,Granada,31,Hombre,España,0,Salario,35195,2128,Fijo,68,1,1,Sí
Nina Meier,Centro,Badajoz,34,Hombre,Suiza,1,Salario,25637,1287,Fijo,107,1,1,Sí
Nina Meier,Centro,Jaén,52,Hombre,Suiza,0,Salario,36956,0,Fijo,244,0,0,Sí
Carlos Rubio,Norte,Granada,58,Hombre,España,0,Salario,21313,0,Fijo,294,1,1,Sí
Carmen Hernández,Norte,Granada,58,Mujer,España,0,Salario,30538,3385,Temporal,2,0,0,Sí
Beatriz Navarro,Este,Granada,23,Mujer,España,0,Salario y Alquiler,20926,2557,Fijo,39,0,0,Sí
Youssef Othmani,Centro,Cantabria,47,Mujer,Marruecos,1,Salario,37699,3722,Fijo,212,0,0,Sí
Cristina Marín,Oeste,Granada,57,Mujer,España,0,Salario,30473,0,Fijo,33,2,1,Sí
David Muñoz,Este,Granada,64,Hombre,España,0,Salario,21845,2380,Fijo,420,1,0,Sí
Ana Sanz,Oeste,Granada,25,Mujer,España,0,Salario y Alquiler,33218,0,Fijo,13,0,0,Sí
Patricia Carrasco,Norte,Granada,20,Mujer,España,0,Salario,19885,3596,Fijo,0,1,1,Sí
Arthur Jacobs,Centro,Teruel,72,Mujer,Bélgica,1,Pensión,14973,0,Inactivo,0,0,0,Sí
Teresa Ortega,Oeste,Granada,24,Mujer,España,0,Salario,35873,0,Fijo,31,0,0,Sí
Carlos Ortiz,Este,Granada,44,Hombre,España,1,Salario y Alquiler,34355,0,Fijo,47,0,0,Sí
Lucas Janssens,Centro,Pontevedra,40,Hombre,Bélgica,1,Salario,33842,1261,Fijo,67,1,0,Sí
Luis Díaz,Oeste,Granada,31,Hombre,España,0,Salario y Alquiler,35768,0,Temporal,100,0,0,Sí
Alejandro Serrano,Oeste,Granada,50,Hombre,España,1,Salario y Alquiler,27389,4822,Fijo,364,2,1,Sí
Roberto Ortiz,Oeste,Granada,74,Hombre,España,0,Pensión,12861,0,Inactivo,0,0,0,Sí
Inés Carrasco,Centro,Granada,56,Mujer,España,0,Salario y Alquiler,36362,0,Temporal,40,0,0,Sí
Luc Lefèvre,Centro,La Rioja,65,Hombre,Francia,1,Pensión,18366,1402,Inactivo,0,1,0,Sí
Francesca Conti,Centro,La Rioja,64,Mujer,Italia,1,Salario,22708,2900,Fijo,285,0,1,Sí
Patricia Serrano,Costa,Granada,59,Mujer,España,0,Salario y Alquiler,37824,4413,Temporal,44,0,0,Sí
Sofía Ortiz,Centro,Granada,78,Mujer,España,1,Pensión y Alquiler,15488,0,Inactivo,0,0,1,Sí
Santiago Serrano,Centro,Granada,67,Hombre,España,0,Pensión,10424,4609,Inactivo,0,2,1,Sí
Julia Rodríguez,Costa,Granada,48,Mujer,España,0,Salario,35135,4226,Fijo,77,0,0,Sí
Miguel Carrasco,Oeste,Granada,75,Hombre,España,0,Pensión y Alquiler,12483,0,Inactivo,0,0,0,Sí
Alicia Delgado,Oeste,Granada,29,Mujer,España,0,Salario,19900,0,Fijo,89,1,1,Sí
Miguel Morales,Costa,Granada,21,Hombre,España,2,Salario,22175,610,Fijo,32,0,0,Sí
Paula Ramírez,Este,Granada,31,Mujer,España,2,Salario,17731,14240,Fijo,52,0,0,Sí
Paula Gómez,Norte,Granada,57,Mujer,España,0,Salario,27046,0,Fijo,266,0,0,Sí
Irene Sanz,Centro,Córdoba,57,Mujer,España,1,Salario,22168,0,Fijo,245,3,0,Sí
Mario Alonso,Este,Granada,65,Hombre,España,0,Pensión y Alquiler,12954,12470,Inactivo,0,0,1,Sí
Ana Reyes,Este,Granada,45,Mujer,España,0,Salario y Alquiler,29900,3716,Fijo,182,0,0,Sí
Sofía Díaz,Norte,Granada,41,Mujer,España,1,Salario y Alquiler,21403,3794,Fijo,113,1,0,Sí
Francisco Castro,Este,Granada,25,Hombre,España,3,Salario,27614,0,Fijo,8,0,0,Sí
Susana González,Este,Granada,28,Mujer,España,0,Salario y Alquiler,33246,0,Fijo,97,1,1,Sí
Cristina Rubio,Costa,Granada,32,Mujer,España,0,Salario y Alquiler,33021,0,Fijo,117,0,0,Sí
Raúl López,Oeste,Granada,62,Hombre,España,2,Salario y Alquiler,20293,4854,Temporal,404,0,1,Sí
Antoine Bernard,Centro,Asturias,50,Mujer,Francia,0,Salario,27062,0,Fijo,207,2,0,Sí
Ana Romero,Norte,Granada,30,Mujer,España,0,Salario,18014,594,Temporal,15,0,0,Sí
Eva Ramírez,Costa,Granada,33,Mujer,España,1,Salario y Alquiler,20343,0,Fijo,145,0,0,Sí
Marta Navarro,Centro,Granada,39,Mujer,España,0,Salario y Alquiler,21395,12237,Fijo,35,1,0,Sí
Luc Lefèvre,Centro,Tarragona,74,Mujer,Francia,1,Pensión,13578,4889,Inactivo,0,0,2,No
Irene Sanz,Costa,Granada,51,Mujer,España,0,Salario y Alquiler,29537,562,Fijo,93,2,1,Sí
Diego Moreno,Costa,Granada,61,Hombre,España,2,Salario y Alquiler,28923,0,Fijo,474,0,1,Sí
Carlos Marín,Norte,Granada,50,Hombre,España,1,Salario,34729,0,Fijo,14,0,0,Sí
Iván Domínguez,Centro,Granada,40,Hombre,España,3,Salario,21586,0,Temporal,252,2,0,Sí
Sara Sanz,Oeste,Granada,75,Mujer,España,2,Pensión y Alquiler,18819,1591,Inactivo,0,0,2,No
Carmen Gil,Este,Granada,50,Mujer,España,0,Salario y Alquiler,20362,0,Fijo,367,0,0,Sí
Marcos Torres,Oeste,Granada,35,Hombre,España,0,Salario y Alquiler,26223,1483,Temporal,112,1,0,Sí
Héctor Cruz,Este,Granada,31,Hombre,España,2,Salario,29834,0,Fijo,81,0,0,Sí
Julia Vázquez,Costa,Granada,26,Mujer,España,1,Salario,33033,0,Fijo,27,0,0,Sí
Sofía Ruiz,Este,Granada,71,Mujer,España,2,Pensión,16523,2914,Inactivo,0,0,1,Sí
Juan Castro,Oeste,Granada,63,Hombre,España,2,Salario y Alquiler,32330,0,Fijo,115,0,0,Sí
Isabel Ramírez,Este,Granada,79,Mujer,España,1,Pensión,14916,0,Inactivo,0,0,1,Sí
Ursula Fischer,Centro,Badajoz,24,Hombre,Alemania,0,Salario,31215,0,Fijo,17,1,0,Sí
Raúl Jiménez,Centro,Granada,61,Hombre,España,1,Salario y Alquiler,38664,4015,Temporal,489,3,0,Sí
Álvaro Álvarez,Centro,Granada,30,Hombre,España,2,Salario,32546,2342,Fijo,15,0,0,Sí
Héctor Ramírez,Este,Granada,61,Hombre,España,0,Salario,38883,0,Fijo,344,2,0,Sí
Irene Sanz,Este,Granada,62,Mujer,España,1,Salario,36174,0,Fijo,199,1,1,Sí
Hans Müller,Centro,Lugo,32,Mujer,Alemania,0,Salario,32378,13230,Fijo,124,0,0,Sí
Marta Martínez,Costa,Granada,33,Mujer,España,1,Salario y Alquiler,35942,0,Fijo,124,0,0,Sí
Marta Ortiz,Centro,Granada,70,Mujer,España,3,Pensión y Alquiler,14106,665,Inactivo,0,0,0,Sí
Carmen Domínguez,Centro,Granada,62,Mujer,España,0,Salario y Alquiler,36816,0,Temporal,184,0,0,Sí
Alicia González,Centro,Granada,72,Mujer,España,0,Pensión,12260,0,Inactivo,0,1,0,Sí
Eva Janssen,Centro,Sevilla,53,Hombre,Países Bajos,1,Salario y Alquiler,21830,0,Temporal,232,2,1,Sí
Carlos Navarro,Centro,Granada,51,Hombre,España,0,Salario,28783,0,Fijo,358,1,0,Sí
Silvia Rubio,Costa,Granada,25,Mujer,España,0,Salario y Alquiler,19613,1810,Temporal,45,0,0,Sí
Isabel Martín,Costa,Granada,75,Mujer,España,0,Pensión,16853,2433,Inactivo,0,4,1,Sí
Inés Delgado,Este,Granada,39,Mujer,España,0,Salario,19719,0,Fijo,157,0,0,Sí
